SequenceID	Type
c000002924	Bird
c000028741	Bird
c000039991	Bird
c000028550	Bird
c000025514	Bird
c000002946	Bird
c000006920	Bird
c000028822	Bird
c000020647	Bird
c000020303	Bird
c000006921	Bird
c000020302	Bird
c000028827	Bird
c000038255	Bird
c000045203	Bird
c000039272	Bird
c000002826	Bird
c000010451	Bird
c000000171	Bird
c000028824	Bird
c000043920	Bird
c000020531	Bird
c000040316	Bird
c000009873	Bird
c000000440	Bird
c000025722	Bird
c000045176	Bird
c000023430	Bird
c000006925	Bird
c000020289	Bird
c000004509	Bird
c000025001	Bird
c000020305	Bird
c000013119	Bird
c000020288	Bird
c000002841	Bird
c000024998	Bird
c000045134	Bird
c000045291	Bird
c000036383	Bird
c000045174	Bird
c000007731	Bird
c000009839	Bird
c000020281	Bird
c000006741	Bird
c000045285	Bird
c000028831	Bird
c000045296	Bird
c000006938	Bird
c000045337	Bird
c000028826	Bird
c000038273	Bird
c000005895	Bird
c000009838	Bird
c000045328	Bird
c000020310	Bird
c000045229	Bird
c000018928	Cat
c000003361	Cat
c000036048	Cat
c000032865	Cat
c000030056	Cat
c000014467	Cat
c000015544	Cat
c000024615	Cat
c000024113	Cat
c000015635	Cat
c000025933	Cat
c000031088	Cat
c000042861	Cat
c000031544	Cat
c000007244	Cat
c000024611	Cat
c000042859	Cat
c000012392	Cat
c000044961	Cat
c000042003	Cat
c000032868	Cat
c000033329	Cat
c000016328	Cat
c000035776	Cat
c000035354	Cat
c000039442	Cat
c000045260	Cat
c000044960	Cat
c000044923	Cat
c000031028	Cat
c000045227	Cat
c000036052	Cat
c000024240	Cat
c000045310	Cat
c000024238	Cat
c000045332	Cat
c000030055	Cat
c000008519	Cat
c000045230	Cat
c000000088	Cat
c000040378	Cat
c000015899	Dog
c000020579	Dog
c000030906	Dog
c000015901	Dog
c000016623	Dog
c000015905	Dog
c000012374	Dog
c000032493	Dog
c000031017	Dog
c000016451	Dog
c000043246	Dog
c000031019	Dog
c000035588	Dog
c000037632	Dog
c000036137	Dog
c000043386	Dog
c000000155	Dog
c000045153	Dog
c000043285	Dog
c000035594	Dog
c000014747	Dog
c000045295	Dog
c000035006	Dog
c000045112	Dog
c000045188	Dog
c000045318	Dog
c000045204	Dog
c000020586	Dog
c000045316	Dog
c000009154	Dog
c000045197	Dog
c000035001	Dog
c000045182	Dog
c000000111	Dog
c000045246	Dog
c000045282	Dog
c000045274	Dog
c000045146	Dog
c000045349	Dog
c000045345	Dog
c000045241	Dog
c000045300	Dog
c000045273	Dog
c000045100	Dog
c000045353	Dog
c000045104	Dog
c000045184	Dog
c000045334	Dog
c000045330	Dog
c000045367	Dog
c000045329	Dog
c000045315	Dog
c000045149	Dog
c000045365	Dog
c000045314	Dog
c000045162	Dog
c000015986	Dog
c000045234	Dog
c000045244	Dog
c000045187	Dog
c000045115	Dog
c000045250	Dog
c000045320	Dog
c000045347	Dog
c000044896	Dog
c000045141	Dog
c000005422	Dog
c000045193	Dog
c000045167	Dog
c000045116	Dog
c000045108	Dog
c000005384	Dog
c000045283	Dog
c000000124	Dog
c000045132	Dog
c000045308	Dog
c000000064	Dog
c000045198	Dog
c000000715	Dog
c000020507	Dog
c000045217	Dog
c000045306	Dog
c000045152	Dog
c000045208	Dog
c000045124	Dog
c000045109	Dog
c000045251	Dog
c000045220	Dog
c000045278	Dog
c000045136	Dog
c000045359	Dog
c000045194	Dog
c000045142	Dog
c000045339	Dog
c000045236	Dog
c000045103	Dog
c000045226	Dog
c000015909	Dog
c000045123	Dog
c000045289	Dog
c000045321	Dog
c000000719	Dog
c000045253	Dog
c000015899	Pet
c000020580	Pet
c000027609	Pet
c000032783	Pet
c000023261	Pet
c000037907	Pet
c000019207	Pet
c000020578	Pet
c000037226	Pet
c000043386	Pet
c000037910	Pet
c000037919	Pet
c000045258	Pet
c000045214	Pet
c000045303	Pet
c000035006	Pet
c000045204	Pet
c000045227	Pet
c000005087	Pet
c000035001	Pet
c000045157	Pet
c000000111	Pet
c000045246	Pet
c000045282	Pet
c000045146	Pet
c000045267	Pet
c000045120	Pet
c000045273	Pet
c000045100	Pet
c000045104	Pet
c000020506	Pet
c000045118	Pet
c000045184	Pet
c000045319	Pet
c000045307	Pet
c000045367	Pet
c000045183	Pet
c000045315	Pet
c000045257	Pet
c000045162	Pet
c000045245	Pet
c000045351	Pet
c000045304	Pet
c000045280	Pet
c000045187	Pet
c000008960	Pet
c000045098	Pet
c000045106	Pet
c000045265	Pet
c000045115	Pet
c000045243	Pet
c000045141	Pet
c000002931	Pet
c000045287	Pet
c000011587	Pet
c000000124	Pet
c000045308	Pet
c000045143	Pet
c000045306	Pet
c000045137	Pet
c000002930	Pet
c000014278	Pet
c000045312	Pet
c000045103	Pet
c000015909	Pet
c000045123	Pet
c000045269	Pet
c000045230	Pet
c000000719	Pet
c000045253	Pet
c000043085	Cow
c000027618	Cow
c000013513	Cow
c000041675	Cow
c000041445	Cow
c000044926	Cow
c000036693	Cow
c000042671	Cow
c000044462	Cow
c000020129	Cow
c000043404	Cow
c000045172	Cow
c000042082	Cow
c000017975	Cow
c000044005	Cow
c000039994	Cow
c000023145	Cow
c000043458	Cow
c000043046	Cow
c000034481	Cow
c000007543	Cow
c000036623	Cow
c000024323	Cow
c000044246	Cow
c000044243	Cow
c000038065	Cow
c000039989	Cow
c000044796	Cow
c000027500	Cow
c000041447	Cow
c000002089	Cow
c000019512	Cow
c000042170	Cow
c000043489	Cow
c000042975	Cow
c000041685	Cow
c000002200	Cow
c000043198	Cow
c000044928	Cow
c000044248	Cow
c000033062	Cow
c000018451	Deer
c000023989	Deer
c000000725	Deer
c000041195	Deer
c000036408	Deer
c000040987	Deer
c000019416	Deer
c000042535	Deer
c000024379	Deer
c000016160	Deer
c000022309	Deer
c000039659	Deer
c000024840	Deer
c000040990	Deer
c000022418	Deer
c000029407	Deer
c000039019	Deer
c000024112	Deer
c000022630	Deer
c000043347	Deer
c000031465	Deer
c000044034	Deer
c000015724	Deer
c000022284	Deer
c000034184	Deer
c000032494	Deer
c000002165	Deer
c000013374	Deer
c000041023	Deer
c000042415	Deer
c000020707	Deer
c000027575	Deer
c000021948	Deer
c000022848	Deer
c000026673	Deer
c000005673	Deer
c000023186	Deer
c000034480	Deer
c000040988	Deer
c000037410	Deer
c000044329	Deer
c000026747	Deer
c000037538	Deer
c000008132	Deer
c000043988	Deer
c000044245	Deer
c000037604	Deer
c000036405	Deer
c000004485	Deer
c000043234	Deer
c000042169	Deer
c000013298	Deer
c000043048	Deer
c000042341	Deer
c000025650	Deer
c000029292	Deer
c000009414	Deer
c000041194	Deer
c000028402	Deer
c000045364	Deer
c000015281	Deer
c000029406	Deer
c000043989	Deer
c000032501	Deer
c000041914	Deer
c000043442	Deer
c000038423	Deer
c000004312	Deer
c000010892	Deer
c000026918	Deer
c000026534	Deer
c000012158	Deer
c000022232	Deer
c000040826	Deer
c000043235	Deer
c000005888	Deer
c000036172	Deer
c000013295	Deer
c000034185	Deer
c000029113	Deer
c000038535	Deer
c000045200	Deer
c000014637	Deer
c000026368	Deer
c000013781	Deer
c000028980	Deer
c000037782	Deer
c000019847	Deer
c000040230	Deer
c000042984	Deer
c000021950	Deer
c000028471	Deer
c000024534	Deer
c000037543	Deer
c000038322	Deer
c000038016	Deer
c000042672	Deer
c000044546	Deer
c000013743	Deer
c000034244	Deer
c000008547	Deer
c000044790	Ruminant
c000044507	Ruminant
c000039798	Ruminant
c000043085	Ruminant
c000036798	Ruminant
c000027618	Ruminant
c000013513	Ruminant
c000025220	Ruminant
c000036693	Ruminant
c000036408	Ruminant
c000039229	Ruminant
c000029584	Ruminant
c000042973	Ruminant
c000006281	Ruminant
c000041915	Ruminant
c000000342	Ruminant
c000034805	Ruminant
c000038064	Ruminant
c000025330	Ruminant
c000039849	Ruminant
c000042337	Ruminant
c000045007	Ruminant
c000045327	Ruminant
c000043046	Ruminant
c000044131	Ruminant
c000034076	Ruminant
c000036623	Ruminant
c000018467	Ruminant
c000007527	Ruminant
c000020044	Ruminant
c000025226	Ruminant
c000044796	Ruminant
c000042596	Ruminant
c000032033	Ruminant
c000021439	Ruminant
c000029008	Ruminant
c000042205	Ruminant
c000045199	Ruminant
c000024473	Ruminant
c000021481	Rabbit
c000038047	Rabbit
c000021483	Rabbit
c000038038	Rabbit
c000025027	Rabbit
c000037801	Rabbit
c000026675	Rabbit
c000013320	Rabbit
c000028473	Rabbit
c000019288	Rabbit
c000008558	Rabbit
c000038029	Rabbit
c000039623	Rabbit
c000016193	Rabbit
c000043022	Rabbit
c000033650	Rabbit
c000036909	Rabbit
c000021521	Rabbit
c000020267	Rabbit
c000039583	Rabbit
c000038042	Rabbit
c000019345	Rabbit
c000030284	Rabbit
c000043891	Rabbit
c000030659	Rabbit
c000039417	Rabbit
c000043892	Rabbit
c000004893	Rabbit
c000043026	Rabbit
c000019378	Rabbit
c000027705	Rabbit
c000038733	Rabbit
c000045311	Rabbit
c000030549	Rabbit
c000014634	Pig
c000014636	Pig
c000037699	Pig
c000018218	Pig
c000031649	Pig
c000038332	Pig
c000030206	Pig
c000020902	Pig
c000000227	Pig
c000018638	Pig
c000034207	Pig
c000040405	Pig
c000016716	Pig
c000012154	Pig
c000026239	Pig
c000022709	Pig
c000016714	Pig
c000020829	Pig
c000025528	Pig
c000002923	Pig
c000034435	Pig
c000010907	Pig
c000023627	Pig
c000033574	Pig
c000000762	Pig
c000008067	Pig
c000017039	Pig
c000039340	Pig
c000026601	Pig
c000030153	Pig
c000043523	Pig
c000026716	Pig
c000042263	Pig
c000032314	Pig
c000020416	Pig
c000039319	Pig
c000034209	Pig
c000024476	Pig
c000036323	Pig
c000022164	Pig
c000019576	Pig
c000041136	Pig
c000038687	Pig
c000037841	Pig
c000028290	Pig
c000010433	Pig
c000010897	Pig
c000045297	Pig
c000037820	Pig
c000034795	Pig
c000020932	Pig
c000016944	Pig
c000010219	Pig
c000034724	Pig
c000017043	Pig
c000032742	Pig
c000030863	Pig
c000024934	Pig
c000040403	Pig
c000032740	Pig
c000025771	Pig
c000007040	Pig
c000043639	Pig
c000013717	Pig
c000014632	Pig
c000015554	Pig
c000004875	Pig
c000045121	Pig
c000035867	Pig
c000004533	Pig
c000036058	Pig
c000035775	Sewage
c000035321	Sewage
c000035759	Sewage
c000045299	Sewage
c000035060	Sewage
c000035697	Sewage
c000029958	Sewage
c000020872	Sewage
c000016628	Sewage
c000035119	Sewage
c000009945	Sewage
c000035734	Sewage
c000000018	Sewage
